slot_filler_id,score_pop,score_mainstream,score_niche,model_tier,source_prediction_count
355,0.255485,0.35304,0.391475,niche,22
356,0.001478,0.011126,0.987396,niche,4
357,0.055352,0.264566,0.680082,niche,32
358,0.006443,0.066454,0.927103,niche,3
359,0.00056,0.001926,0.997514,niche,1
360,0.00056,0.001926,0.997514,niche,1
361,1e-06,7e-06,0.999992,niche,1
362,1e-06,7e-06,0.999992,niche,1
363,1e-06,7e-06,0.999992,niche,1
364,0.191477,0.397868,0.410655,niche,10
365,0.240339,0.241865,0.517796,niche,3
366,0.035057,0.284742,0.680201,niche,20
367,1.1e-05,2.8e-05,0.999961,niche,1
368,0.000592,0.018339,0.981069,niche,1
369,0.000592,0.018339,0.981069,niche,1
370,0.012488,0.145109,0.842402,niche,10
371,0.007722,0.184611,0.807667,niche,19
372,3e-05,0.000108,0.999862,niche,1
373,0.000125,0.004123,0.995752,niche,2
374,0.000125,0.004123,0.995752,niche,2
375,0.000243,0.004244,0.995513,niche,1
376,0.001136,0.010458,0.988406,niche,4
377,0.00274,0.112448,0.884812,niche,3
378,0.00274,0.112448,0.884812,niche,3
379,0.007948,0.051701,0.94035,niche,14
380,0.000705,0.023681,0.975614,niche,3
381,0.595423,0.230895,0.173682,pop,12
382,0.003097,0.026887,0.970016,niche,2
383,0.00308,0.004348,0.992572,niche,2
384,0.058714,0.051556,0.88973,niche,1
385,0.058714,0.051556,0.88973,niche,1
386,0.001721,0.011416,0.986862,niche,2
387,0.001721,0.011416,0.986862,niche,2
388,0.111447,0.089133,0.799419,niche,2
389,0.023863,0.12832,0.847817,niche,6
390,0.000135,0.000102,0.999763,niche,1
391,0.000135,0.000102,0.999763,niche,1
392,0.977594,0.012975,0.00943,pop,2
393,0.65287,0.053094,0.294036,pop,3
394,0.001253,0.008703,0.990045,niche,1
395,0.001253,0.008703,0.990045,niche,1
396,0.003693,0.010983,0.985324,niche,1
397,0.015607,0.088194,0.896199,niche,2
398,0.001331,0.115108,0.883561,niche,9
399,0.000453,0.006599,0.992947,niche,7
400,0.223149,0.260794,0.516057,niche,61
401,9.6e-05,0.003794,0.996111,niche,2
402,0.00158,0.004201,0.99422,niche,4
403,0.074746,0.188644,0.736611,niche,5
404,0.066871,0.084266,0.848862,niche,2
405,0.003097,0.374811,0.622092,niche,2
406,0.003097,0.374811,0.622092,niche,2
407,0.000943,0.004241,0.994815,niche,1
408,0.045397,0.43965,0.514952,niche,3
409,0.14879,0.07886,0.77235,niche,2
410,0.277299,0.132048,0.590652,niche,1
411,0.006307,0.01703,0.976663,niche,1
412,0.013193,0.589019,0.397788,mainstream,5
413,0.029034,0.492741,0.478226,mainstream,24
414,0.004605,0.233869,0.761525,niche,2
415,0.008445,0.008019,0.983535,niche,1
416,0.003295,0.039139,0.957566,niche,2
417,0.000723,0.00326,0.996018,niche,2
418,0.000723,0.00326,0.996018,niche,2
419,0.000192,0.000704,0.999105,niche,1
420,0.000192,0.000704,0.999105,niche,1
421,0.008562,0.190986,0.800451,niche,7
422,0.004226,0.01407,0.981704,niche,5
423,5e-05,0.004648,0.995303,niche,1
424,5e-05,0.004648,0.995303,niche,1
425,0.000131,0.047283,0.952586,niche,1
