slot_type,tier,filler,display_filler,probability,log_probability,soft_count,prior_count,evidence_count,source_count,anchored_source_count,inferred_source_count,anchored_soft_count,inferred_soft_count,teacher_confidence_mean,frequency,popularity_score,semantic_smoothing_mass,calibration_temperature,artifact_version
list_item,mainstream,knowledge,Knowledge,0.000491122012675,-7.61881796272,2.38353266956,0.5,2.88353266956,14,0,14,0,2.38353266956,0.9775,14,0.227719647944,0,1,tier_slot_filler_distribution_v1
list_item,niche,knowledge,Knowledge,0.000988389113502,-6.91943409817,10.5367062419,0.5,11.0367062419,14,4,10,3.91,6.62670624192,0.9775,14,0.227719647944,0,1,tier_slot_filler_distribution_v1
list_item,pop,social institutions,social institutions,0.000226082688103,-8.39460974905,0.406778361065,0.5,0.906778361065,4,0,4,0,0.406778361065,0.98,4,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,social institutions,social institutions,0.000162836793767,-8.72276212399,0.456066318587,0.5,0.956066318587,4,0,4,0,0.456066318587,0.98,4,,0,1,tier_slot_filler_distribution_v1
list_item,niche,social institutions,social institutions,0.000325724418495,-8.02945887614,3.13715532035,0.5,3.63715532035,4,1,3,0.98,2.15715532035,0.98,4,,0,1,tier_slot_filler_distribution_v1
list_item,pop,redistricting,redistricting,0.00016603412177,-8.7033172379,0.165934,0.5,0.665934,1,0,1,0,0.165934,,1,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,redistricting,redistricting,0.000143239132348,-8.85099507019,0.34100225,0.5,0.84100225,1,0,1,0,0.34100225,,1,,0,1,tier_slot_filler_distribution_v1
list_item,niche,redistricting,redistricting,8.89335439395e-05,-9.32762116446,0.49306375,0.5,0.99306375,1,0,1,0,0.49306375,,1,,0,1,tier_slot_filler_distribution_v1
list_item,pop,kinship,Kinship,0.000210896667614,-8.46414227139,0.345869872733,0.5,0.845869872733,4,0,4,0,0.345869872733,0.94,4,0.109389710789,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,kinship,Kinship,0.000183780789808,-8.60176687033,0.579035143552,0.5,1.07903514355,4,0,4,0,0.579035143552,0.94,4,0.109389710789,0,1,tier_slot_filler_distribution_v1
list_item,niche,kinship,Kinship,0.000320166622558,-8.04666900219,3.07509498371,0.5,3.57509498371,4,2,2,1.88,1.19509498371,0.94,4,0.109389710789,0,1,tier_slot_filler_distribution_v1
list_item,pop,gender,Gender,0.00259902524732,-5.95261880913,9.92423846737,0.5,10.4242384674,104,0,104,0,9.92423846737,0.969285714286,104,0.278076489203,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,gender,Gender,0.00458795703134,-5.3843204452,26.4373468201,0.5,26.9373468201,104,0,104,0,26.4373468201,0.969285714286,104,0.278076489203,0,1,tier_slot_filler_distribution_v1
list_item,niche,gender,Gender,0.00610211650441,-5.09911960005,67.6384147125,0.5,68.1384147125,104,14,90,13.57,54.0684147125,0.969285714286,104,0.278076489203,0,1,tier_slot_filler_distribution_v1
list_item,pop,computers,Computers,0.000279179372919,-8.18365606903,0.619739933841,0.5,1.11973993384,4,0,4,0,0.619739933841,0.99,4,0.169601440173,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,computers,Computers,0.000135055507056,-8.90982470065,0.292953597578,0.5,0.792953597578,4,0,4,0,0.292953597578,0.99,4,0.169601440173,0,1,tier_slot_filler_distribution_v1
